config,changed_from_base,params_millions,best_val_loss,bit_accuracy,char_accuracy,sequence_accuracy,levenshtein_mean,levenshtein_normalized,bleu,rouge1,rouge2,rougeL,levenshtein_mean_lib,levenshtein_normalized_lib,rouge1_lib,rouge2_lib,rougeL_lib,bit_accuracy_line,char_accuracy_line,sequence_accuracy_line,levenshtein_mean_line,levenshtein_normalized_line,bleu_line,rouge1_line,rouge2_line,rougeL_line,decode_ms_per_line,inference_peak_memory_mb
C1,None (base),12.88704,0.10104415889298003,99.58338928889945,98.95113443453887,95.3443467067153,0.06736751770006437,0.0023751992284787144,98.09928725964356,99.07732872386381,97.08901333713631,99.07732872386381,0.06736751770006437,0.0023751992284787144,99.07732872386381,97.08901333713631,99.07732872386381,92.71094118578871,79.94242206144172,51.6,1.256,0.0024707782597158767,97.87869286900059,98.9407234204268,98.06150549628747,98.9407234204268,208.3044015320047,191.5107421875
C2,Positional encoding,12.88704,0.09202549334079196,99.7337467111154,99.34015676442633,96.85689766144604,0.04666380605020382,0.0016638163924406583,98.73517992167432,99.36183905369708,97.58355961423987,99.36183905369708,0.04666380605020382,0.0016638163924406583,99.36183905369708,97.58355961423987,99.36183905369708,95.45443978743849,87.49393001174393,59.2,0.87,0.001413852736367263,98.58244616453226,99.40880863974009,98.92437985125851,99.40880863974009,228.17287640400173,191.4404296875
C3,Attention mechanism,11.702784,0.10282106150277123,99.5026530907388,98.76590821442345,95.25852821282986,0.0748766359150397,0.0025513172554052083,98.03763653226224,99.05272551571,97.00381813233156,99.05272551571,0.0748766359150397,0.0025513172554052083,99.05272551571,97.00381813233156,99.05272551571,92.09973518280651,78.18822338311713,50.2,1.396,0.0024311560848241116,97.77489611746147,99.06160916647097,98.21261277044034,99.06160916647097,213.10746341600316,186.9990234375
C4,Normalization,12.881408,0.09700687877608537,99.6031541070537,99.03448513334367,96.24544089251233,0.05900021454623471,0.0020322901926347575,98.46766045361404,99.26538494500748,97.36706879380148,99.26538494500748,0.05900021454623471,0.0020322901926347575,99.26538494500748,97.36706879380148,99.26538494500748,92.77048223472613,80.02706630210952,55.0,1.1,0.0019485676214532283,98.26462746742149,99.25659287648269,98.5755195826593,99.25659287648269,199.3836475499993,191.4892578125
C5,Tokenization,26.683395,0.12115297044102033,98.80893550197844,97.31835071853875,80.37974683544304,0.727204462561682,0.023651481916302466,90.70759248627984,95.06690218859622,90.10130512782452,95.06690218859622,0.727204462561682,0.023651481916302466,95.06690218859622,90.10130512782452,95.06690218859622,94.90849637188286,86.2840986186637,9.8,13.554,0.026277933524072296,89.4073626751392,94.5788057937773,90.66063125008874,94.5788057937773,861.7774551360053,487.4619140625
